id,address,pname,cityname,type,adname,name,location,lng,lat,rank
B0FFGDYGIN,解放大道557号(武广正对面),湖北省,武汉市,购物服务;商场;商场,Jianghan,武商MALL??国广A座,"114.270746,30.580948",114.270746,30.580948,1
B0FFM2W1ZQ,中山大道多福路交汇处(汉正街地铁站B口步行200米),湖北省,武汉市,购物服务;商场;普通商场,Qiaokou,云尚·武汉国际时尚中心-B馆,"114.277373,30.571528",114.277373,30.571528,1
B0FFH1U6XE,解放大道557号(武广正对面),湖北省,武汉市,购物服务;商场;购物中心,Jianghan,武商MALL??国广B座,"114.271435,30.579919",114.271435,30.579919,1
B0FFKDUBSS,永和路8号(头道街地铁站A口步行450米),湖北省,武汉市,购物服务;商场;普通商场,Jiang'an,武汉天地壹方北馆,"114.314103,30.616206",114.314103,30.616206,1
B001B1CCBG,中山大道238号,湖北省,武汉市,购物服务;商场;购物中心,Qiaokou,凯德广场,"114.267015,30.568734",114.267015,30.568734,1
B001B1GYLS,龙阳大道与四新大道交汇处,湖北省,武汉市,购物服务;商场;购物中心,Hanyang,武汉方圆荟,"114.189294,30.533986",114.189294,30.533986,2
B0H1BA63EQ,江汉路118号,湖北省,武汉市,购物服务;商场;购物中心,Jiang'an,武汉X118,"114.290045,30.582477",114.290045,30.582477,2
B0HDPZJ08S,中山大道1515号武汉天地壹方购物中心F3,湖北省,武汉市,购物服务;商场;购物中心,Jiang'an,武汉天地壹方购物中心西座,"114.309380,30.608831",114.30938,30.608831,1
B0HDPZJ08Q,中山大道1515号(黄浦路地铁站C口步行280米),湖北省,武汉市,购物服务;商场;购物中心,Jiang'an,武汉天地壹方购物中心东座,"114.310444,30.610339",114.310444,30.610339,1
B0FFI0JMMV,解放大道367号2栋1单元,湖北省,武汉市,购物服务;商场;购物中心,Qiaokou,南国大武汉3期西汇广场,"114.222692,30.585643",114.222692,30.585643,2
B0FFFFAPXD,云杉路199号(近淮海路),湖北省,武汉市,购物服务;商场;商场,Jianghan,武汉范湖万达广场,"114.255455,30.603127",114.255455,30.603127,1
B0FFM1VOYY,中山大道388号(汉正街地铁站B口步行350米),湖北省,武汉市,购物服务;商场;普通商场,Qiaokou,云尚·武汉国际时尚中心-A馆,"114.279028,30.572112",114.279028,30.572112,1
B001B1FJ4N,解放大道686号世贸广场一楼,湖北省,武汉市,购物服务;专卖店;珠宝首饰工艺品|购物服务;商场;商场,Jianghan,六福珠宝(武汉世贸店),"114.269328,30.580137",114.269328,30.580137,2
B0G2XPKM14,烟霞路1号,湖北省,武汉市,购物服务;商场;购物中心,Wuchang,武汉汉街万达,"114.332716,30.559469",114.332716,30.559469,1
B0FFM1TSVX,中山大道388号(汉正街地铁站B口步行200米),湖北省,武汉市,购物服务;商场;普通商场,Qiaokou,云尚·武汉国际时尚中心-C馆(云尚国际时尚中心店),"114.276916,30.570733",114.276916,30.570733,1
B0FFGSXPYZ,汉庭酒店珞瑜路560号(吴家湾大厦1楼),湖北省,武汉市,购物服务;商场;商场,Hongshan,武汉光谷广场店,"114.389526,30.512321",114.389526,30.512321,1
B001B0IOGE,沿河大道166号,湖北省,武汉市,购物服务;家电电子卖场;综合家电商场,Qiaokou,工贸沿河家电市场(武汉工贸大厦店),"114.279083,30.562185",114.279083,30.562185,2
B0HKXUSDPR,江城大道388号永旺梦乐城武汉经开店F3,湖北省,武汉市,购物服务;商场;商场,Hanyang,永旺梦乐城(武汉经开店)-自动售货机,"114.206554,30.505965",114.206554,30.505965,1
B0HUBCFA8Y,中山大道武汉天地壹方购物中心(中山大道店),湖北省,武汉市,购物服务;商场;商场,Jiang'an,HORIZON壹方(武汉天地壹方购物中心店),"114.310525,30.609829",114.310525,30.609829,2
B0FFH9TKLI,龙腾大道与古城大道交界处幸福时代百货广场一楼,湖北省,武汉市,购物服务;商场;商场,Xinzhou,湖北武汉幸福时代百货广场店,"114.799948,30.826669",114.799948,30.826669,3
B0FFL1EOBI,盘龙城经济开发区,湖北省,武汉市,购物服务;商场;商场,Huangpi,武汉百联奥特莱斯c区(百联奥特莱斯广场店),"114.258309,30.731317",114.258309,30.731317,2
B0FFJV7BE6,江城大道388号永旺梦乐城武汉经开店F2,湖北省,武汉市,购物服务;商场;商场,Hanyang,永旺梦乐城(武汉经开店)-自动售货机,"114.204667,30.502037",114.204667,30.502037,1
B0FFH1MN2R,友谊大道友谊国际负一楼B018号,湖北省,武汉市,购物服务;商场;商场,Wuchang,EDS会员商城(武汉天韵灯饰有限公司店),"114.316249,30.556002",114.316249,30.556002,3
B0FFM0UA8C,机场大道武汉天河国际机场T3航站楼F2层,湖北省,武汉市,购物服务;商场;免税品店,Huangpi,AI机器时代(武汉天河国际机场T3航站楼),"114.220553,30.768837",114.220553,30.768837,3
B0G2M4V2BI,万松街街道解放大道688号武汉广场,湖北省,武汉市,购物服务;商场;免税品店,Jianghan,fiveps专柜(武汉国际广场店),"114.271240,30.580010",114.27124,30.58001,2
B0FFM0UG0U,机场大道武汉天河国际机场T3航站楼F4层,湖北省,武汉市,购物服务;商场;免税品店,Huangpi,cdf中国免税店(武汉天河国际机场T3航站楼),"114.219952,30.773482",114.219952,30.773482,3
B001B1C63Z,中山大道754号(江汉路地铁站G口步行250米),湖北省,武汉市,购物服务;商场;普通商场,Jianghan,新首信时尚广场(武汉工艺大楼店),"114.288904,30.576895",114.288904,30.576895,2
B0FFGE9OIE,马影河大道与桂子湖路交叉口西北60米,湖北省,武汉市,购物服务;商场;免税品店,Hannan,U-LIFE(武汉碧桂园风情商业街店),"114.087826,30.351150",114.087826,30.35115,2
B0IRL7HA13,青年路161号ICC武汉环贸中心,湖北省,武汉市,购物服务;商场;普通商场,Jianghan,TAHAN(ICC武汉环贸中心店),"114.262417,30.589656",114.262417,30.589656,3
B0IG4R5SU4,武汉站西进站口A1检票口,湖北省,武汉市,购物服务;商场;商场,Hongshan,NODE+5%免税会员店(武汉站),"114.423382,30.607900",114.423382,30.6079,3
B0IRTZEN18,汉西三路与南泥湾大道交叉口东北200米,湖北省,武汉市,购物服务;商场;普通商场,Qiaokou,武汉汉口商场(香江家居店),"114.222147,30.599246",114.222147,30.599246,2
B0FFJKQ9V1,青年路辅路与马场路交叉口东80米,湖北省,武汉市,购物服务;商场;商场,Jianghan,武汉天街广场,"114.258458,30.612230",114.258458,30.61223,1
B0IAJKKKPV,中山大道与多福路交叉口东100米,湖北省,武汉市,购物服务;商场;购物中心,Qiaokou,武汉国际时尚中心,"114.277314,30.571742",114.277314,30.571742,1
B0IA3XIBTZ,团结大道1335号(仁和路地铁站A口步行480米),湖北省,武汉市,购物服务;商场;购物中心,Hongshan,武汉金地广场-购物中心,"114.384035,30.603700",114.384035,30.6037,2
B0I63HVAGB,新华路与解放大道辅路交叉口东北120米,湖北省,武汉市,购物服务;商场;购物中心,Jianghan,越秀·武汉国金天地(装修中),"114.277217,30.584321",114.277217,30.584321,1
B0IG1UF3XI,园博大道与宜欣路交叉口西100米,湖北省,武汉市,购物服务;商场;普通商场,Qiaokou,悦活里.PARK,"114.169517,30.617350",114.169517,30.61735,2
B0FFLAGEFR,恒安路与平顺路交叉口西100米(瑞安街地铁站A口旁),湖北省,武汉市,购物服务;家电电子卖场;综合家电商场,Wuchang,武汉专营二手家电空调回收与销售,"114.313191,30.516999",114.313191,30.516999,3
B001B15YDC,和平大道1544号(红钢城地铁站A口步行160米),湖北省,武汉市,购物服务;商场;商场,Qingshan,青山商场,"114.402937,30.639209",114.402937,30.639209,3
B001B0JNDX,汉南大道580号,湖北省,武汉市,购物服务;商场;购物中心,Hannan,中百仓储(汉南购物广场),"114.085161,30.311307",114.085161,30.311307,3
B0FFFY0O71,中北路120号(青鱼嘴地铁站B口步行50米),湖北省,武汉市,购物服务;商场;商场,Wuchang,家盛时代城市生活广场(中北店),"114.350349,30.562856",114.350349,30.562856,2
B001B16L1O,民族大道,湖北省,武汉市,购物服务;商场;普通商场,Hongshan,华罗利广场,"114.396168,30.483272",114.396168,30.483272,2
B001B07YIV,中山大道858号,湖北省,武汉市,购物服务;商场;购物中心,Jianghan,王府井百货(中山大道店),"114.291476,30.579247",114.291476,30.579247,1
B001B0I64M,珞喻路1号(街道口地铁站C口步行90米),湖北省,武汉市,购物服务;商场;购物中心,Hongshan,新世界百货(武昌店),"114.354125,30.527154",114.354125,30.527154,1
B0FFHEWWXZ,高新二路139号,湖北省,武汉市,购物服务;商场;购物中心,Jiangxia,首创奥特莱斯,"114.461443,30.477419",114.461443,30.477419,1
B001B06SEO,建设大道566号,湖北省,武汉市,购物服务;商场;购物中心,Jianghan,新世界百货(国贸店),"114.269964,30.594962",114.269964,30.594962,1
B0FFGE6URB,常青一路218号,湖北省,武汉市,购物服务;商场;购物中心,Jianghan,万科广场,"114.26199,30.623342",114.26199,30.623342,1
B001B0JON9,黄陂大道162号黄陂购物广场,湖北省,武汉市,购物服务;商场;普通商场,Huangpi,中百仓储(黄陂店),"114.372399,30.881419",114.372399,30.881419,3
B001B0JNCL,藏龙岛光谷大道紫微星广场1-2层,湖北省,武汉市,购物服务;商场;购物中心,Jiangxia,中百仓储(紫微星购物广场),"114.423466,30.436463",114.423466,30.436463,3
B001B16TBS,四明路和东吴大道交汇处,湖北省,武汉市,购物服务;商场;购物中心,Dongxihu,服投广场,"114.142606,30.622463",114.142606,30.622463,2
B001B0J3MA,中山大道600号(六渡桥地铁站A口旁),湖北省,武汉市,购物服务;商场;普通商场,Jianghan,库玛商场,"114.283445,30.574082",114.283445,30.574082,3
B001B16GH3,丁字桥南路520号,湖北省,武汉市,购物服务;商场;购物中心,Wuchang,南国南湖城市广场(建安街),"114.324906,30.505355",114.324906,30.505355,2
B0FFGLNE3C,街道口珞喻路4号乐天城(街道口地铁站B口旁),湖北省,武汉市,购物服务;商场;购物中心,Hongshan,乐天城,"114.354417,30.525489",114.354417,30.525489,2
B0FFGEA3J6,雄楚大道与石牌岭路交汇处,湖北省,武汉市,购物服务;商场;购物中心|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,Hongshan,乐都汇(石牌岭路),"114.335908,30.516469",114.335908,30.516469,3
B0FFIL2S3W,姑嫂树路12号(石桥地铁站F口步行180米),湖北省,武汉市,购物服务;商场;普通商场|科教文化服务;培训机构;培训机构,Jianghan,泛悦Mall(北都店),"114.266309,30.627133",114.266309,30.627133,2
B0FFF3W3ZF,文治街与丁字桥南路交叉路口,湖北省,武汉市,购物服务;商场;商场,Hongshan,维佳·佰港城,"114.326487,30.503319",114.326487,30.503319,1
B0FFHCQHD6,后湖大道与建设大道延长线交汇处汉口城市广场F1,湖北省,武汉市,购物服务;家电电子卖场;综合家电商场,Jiang'an,工贸家电(汉口城市广场店),"114.310558,30.653177",114.310558,30.653177,2
B0FFFD3QT6,和平大道959号(建设二路地铁站C口步行110米),湖北省,武汉市,购物服务;商场;购物中心,Qingshan,武商城市奥莱,"114.377101,30.6268",114.377101,30.6268,1
B0FFHLP36K,卓刀泉路238号(地铁2号线杨家湾站B出口旁),湖北省,武汉市,购物服务;商场;购物中心,Hongshan,皇后公园,"114.383451,30.504556",114.383451,30.504556,3
B0FFKAV139,清江路与范湖路交叉口东南100米,湖北省,武汉市,商务住宅;楼宇;商务写字楼|购物服务;商场;普通商场|风景名胜;公园广场;城市广场,Jianghan,泛海城市广场,"114.253973,30.600375",114.253973,30.600375,2
B0FFJ2UUIC,龙阳大道48号(龙阳村地铁站C口步行270米),湖北省,武汉市,商务住宅;楼宇;商务写字楼|购物服务;商场;普通商场,Hanyang,万隆城市广场,"114.206634,30.555802",114.206634,30.555802,2
B0FFI7V0MH,丁字桥南路518号,湖北省,武汉市,购物服务;商场;普通商场,Wuchang,泛悦Mall(南湖店),"114.324907,30.505357",114.324907,30.505357,3
B0G2NH245Q,,湖北省,武汉市,购物服务;商场;购物中心,Huangpi,武汉盘龙城万达广场,"114.304329,30.694782",114.304329,30.694782,2
B0G0B528IY,云彩路198号(云飞路地铁站C口步行390米),湖北省,武汉市,购物服务;商场;购物中心|购物服务;商场;普通商场|商务住宅;楼宇;商务写字楼,Jianghan,万达广场,"114.254613,30.602242",114.254613,30.602242,1
