id,address,pname,cityname,type,adname,name,location,lng,lat
B0IGTHGNPJ,玉贤街道窑咀村西湖印象3号,湖北省,武汉市,科教文化服务;博物馆;博物馆,蔡甸区,江城紫砂艺术馆,"113.966445,30.512858",113.966445,30.512858
B0IU6M8F79,武汉桃源集亲子小镇(西北角),湖北省,武汉市,科教文化服务;博物馆;博物馆,黄陂区,桃源集儿童博物馆,"114.320291,30.746429",114.320291,30.746429
B0I6OR7X85,解放大道348号(太平洋地铁站C口步行470米),湖北省,武汉市,科教文化服务;博物馆;博物馆,硚口区,武汉牙齿博物馆,"114.243752,30.575230",114.243752,30.57523
B0H1N59ABG,珞瑜路409号美尔雅大厦布里斯班阳光酒店11层,湖北省,武汉市,科教文化服务;博物馆;博物馆,洪山区,武汉槐川博物馆,"114.373329,30.518634",114.373329,30.518634
B0GKCYTD43,虎泉生活广场欧亚达C28,湖北省,武汉市,科教文化服务;博物馆;博物馆,洪山区,润悦宝居,"114.370336,30.517885",114.370336,30.517885
B0H2XSG3UP,金龙水寨生态乐园内,湖北省,武汉市,科教文化服务;博物馆;博物馆,蔡甸区,蔡甸莲藕博物馆,"113.927413,30.538619",113.927413,30.538619
B0I3678W2V,东西湖文化中心博物馆科技馆1层,湖北省,武汉市,科教文化服务;博物馆;博物馆,东西湖区,武汉天人合一奇石博物馆,"114.135899,30.641796",114.135899,30.641796
B0FFIVFM7M,[],湖北省,武汉市,风景名胜;风景名胜;纪念馆|科教文化服务;博物馆;博物馆,江岸区,詹天佑故居,"114.299357,30.585126",114.299357,30.585126
B0FFHXWRAE,郑店街联合村涂家咀,湖北省,武汉市,科教文化服务;博物馆;博物馆,江夏区,武汉金楠雅苑金丝楠木博物馆,"114.234785,30.319973",114.234785,30.319973
B0FFMGY1RJ,光谷四路与玉合巷交叉口东100米,湖北省,武汉市,科教文化服务;博物馆;博物馆,洪山区,光谷教育发展研究院,"114.486313,30.504116",114.486313,30.504116
B0FFFPIWL3,省博湖北日报地铁站D口步行240米,湖北省,武汉市,科教文化服务;博物馆;博物馆,武昌区,湖北省博物馆(入口),"114.364525,30.563145",114.364525,30.563145
B0FFFGUHDI,经济开发区藏龙岛办事处栗庙路6号,湖北省,武汉市,科教文化服务;博物馆;博物馆,江夏区,藏龙博物馆,"114.423310,30.392927",114.42331,30.392927
B0H6XYU77Y,北华街29号(北华街地铁站B口步行410米),湖北省,武汉市,科教文化服务;博物馆;博物馆,江夏区,中国体育彩票,"114.321736,30.357091",114.321736,30.357091
B0FFGQ26IG,东湖新技术开发区光谷大道69号,湖北省,武汉市,科教文化服务;博物馆;博物馆,江夏区,武汉地质调查中心龙化石博物馆,"114.421912,30.458851",114.421912,30.458851
B0HR9C6E84,惠济路3号文华教育大厦F1层,湖北省,武汉市,科教文化服务;博物馆;博物馆,江岸区,度·世界精酿啤酒博物馆(汉口店),"114.286603,30.605281",114.286603,30.605281
B0H3MM9H5F,五贤南路华中文谷,湖北省,武汉市,科教文化服务;博物馆;博物馆,蔡甸区,没有共产党就没有新中国百年报刊馆,"114.079657,30.540264",114.079657,30.540264
B0FFGCBGG1,琴台大道169号,湖北省,武汉市,科教文化服务;博物馆;博物馆,汉阳区,张之洞与武汉博物馆,"114.242916,30.559381",114.242916,30.559381
B0FFHG2UFY,滨江大道江滩17号,湖北省,武汉市,科教文化服务;博物馆;博物馆,汉阳区,竹韵堂竹雕博物馆,"114.283213,30.553343",114.283213,30.553343
B0FFLO0T8T,红巷艺术馆B区二楼205,湖北省,武汉市,科教文化服务;博物馆;博物馆,武昌区,妲艺堂(徐清公寓 店),"114.344828,30.585498",114.344828,30.585498
B001B1ASIC,大南街172号,湖北省,武汉市,科教文化服务;博物馆;博物馆,黄陂区,武汉市黄陂区博物馆,"114.380477,30.872523",114.380477,30.872523
B0FFGK0Z59,江汉经济开发区园博园东门汉口里小镇5-2-1,湖北省,武汉市,科教文化服务;博物馆;博物馆,硚口区,长江非遗博物馆,"114.225044,30.621089",114.225044,30.621089
B0HRYZGRA8,中心百货2304(江汉路地铁站E口步行250米),湖北省,武汉市,科教文化服务;博物馆;博物馆,江汉区,时印书店,"114.289724,30.581682",114.289724,30.581682
B0FFF3YWVH,江堤街办事处江堤中路江欣苑一期,湖北省,武汉市,科教文化服务;博物馆;博物馆,汉阳区,高龙博物馆,"114.247824,30.529773",114.247824,30.529773
B0FFF6Z1MO,南湖大道182号中南财经政法大学南湖校区图书馆2层,湖北省,武汉市,科教文化服务;博物馆;博物馆,江夏区,中南财经政法大学中国货币金融历史博物馆,"114.38509,30.473851",114.38509,30.473851
B0FFH2EMWU,汉口北大道汉口北国际商品交易中心中心区广场,湖北省,武汉市,科教文化服务;博物馆;博物馆,黄陂区,汉口商业博物馆,"114.324958,30.706600",114.324958,30.7066
B0FFGBG28H,园博园东路汉口里2-3-1号,湖北省,武汉市,科教文化服务;博物馆;博物馆,硚口区,参差咖啡博物馆,"114.224733,30.619622",114.224733,30.619622
B0FFHMVMZS,武汉航天城西北门旁,湖北省,武汉市,科教文化服务;博物馆;博物馆,硚口区,武汉中部兰亭艺术博物馆,"114.196892,30.607980",114.196892,30.60798
B001B1C2P4,东湖开发区关山一路sbi创业街9栋,湖北省,武汉市,科教文化服务;博物馆;博物馆,洪山区,科技企业孵化器博物馆,"114.415901,30.500406",114.415901,30.500406
B0FFFAKTKY,知音大道琴台大剧院1层东2门,湖北省,武汉市,科教文化服务;博物馆;博物馆,汉阳区,琴台钢琴博物馆,"114.259820,30.560497",114.25982,30.560497
B001B16Q3J,洗马长街86号,湖北省,武汉市,科教文化服务;博物馆;博物馆,汉阳区,武汉大禹文化博物馆,"114.284632,30.55568",114.284632,30.55568
B0I2F5N3TW,临空港大道418号,湖北省,武汉市,科教文化服务;博物馆;博物馆,东西湖区,临空港博物馆,"114.135894,30.641803",114.135894,30.641803
B0FFGCDVU7,建设七路1附16号附近,湖北省,武汉市,科教文化服务;博物馆;博物馆,青山区,刘士标剪纸艺术博物馆,"114.396996,30.642762",114.396996,30.642762
B0FFH9DEGD,东湖生态旅游风景区东湖东路8号东湖阳光院内东湖艺术馆一楼,湖北省,武汉市,科教文化服务;博物馆;博物馆,洪山区,东湖艺术馆(禅茶一味),"114.386408,30.533267",114.386408,30.533267
B0FFGL04EB,鲁磨路388号中国地质大学内,湖北省,武汉市,科教文化服务;博物馆;博物馆,洪山区,恐龙化石展厅,"114.400621,30.517662",114.400621,30.517662
B0FFG2BAER,东湖路与黄鹂路辅路交叉口东南220米,湖北省,武汉市,科教文化服务;博物馆;博物馆,武昌区,郧阳区人头骨化石,"114.365261,30.561638",114.365261,30.561638
B0FFG26J6Q,东湖路160号湖北省博物馆综合展馆内,湖北省,武汉市,科教文化服务;博物馆;博物馆,武昌区,湖北省博物馆综合展馆-讲解服务联系处,"114.365485,30.561453",114.365485,30.561453
B02CD001D0,南岗路50号,湖北省,宜昌市,科教文化服务;博物馆;博物馆,枝江市,枝江博物馆,"111.736889,30.424025",111.736889,30.424025
B0FFGPXUS6,柏临河路,湖北省,宜昌市,科教文化服务;博物馆;博物馆,伍家岗区,宜昌博物馆,"111.380484,30.633692",111.380484,30.633692
B0FFFDIEHP,锦江东路与锦江西路交汇处西南150米,湖北省,宜昌市,科教文化服务;博物馆;博物馆,夷陵区,宜昌市夷陵区博物馆,"111.300550,30.769117",111.30055,30.769117
B0IAVYD058,348国道与土三路交叉口北320米,湖北省,宜昌市,科教文化服务;博物馆;博物馆,夷陵区,三峡工程博物馆,"111.024928,30.809672",111.024928,30.809672
B0H3SUK50P,古老背社区镇中巷72号,湖北省,宜昌市,科教文化服务;博物馆;博物馆,猇亭区,华夏票证博物馆,"111.417334,30.530398",111.417334,30.530398
B0FFIYJSC9,106乡道与004乡道交叉口东南100米,湖北省,宜昌市,科教文化服务;博物馆;博物馆,夷陵区,中国三峡柑橘博物馆,"111.431070,30.781958",111.43107,30.781958
B02CD0QCZK,鸣凤山巷1号,湖北省,宜昌市,科教文化服务;博物馆;博物馆,远安县,远安地质博物馆,"111.631930,31.056480",111.63193,31.05648
B0FFIRVR31,车溪民俗风景区,湖北省,宜昌市,科教文化服务;博物馆;博物馆,点军区,水车博物馆,"111.055461,30.671729",111.055461,30.671729
B0FFMF5ESA,茅坪镇滨湖路(屈原故里集散中心附近),湖北省,宜昌市,科教文化服务;博物馆;博物馆,秭归县,秭归博物馆,"110.987277,30.823683",110.987277,30.823683
B0GKP50029,龙舟路与滨湖路交叉口东北140米,湖北省,宜昌市,科教文化服务;博物馆;博物馆,秭归县,三峡移民博物馆,"110.978505,30.840622",110.978505,30.840622
B0FFKPDKTE,东正街建材市场B区,湖北省,宜昌市,科教文化服务;博物馆;博物馆,宜都市,忆古园收藏,"111.468423,30.397908",111.468423,30.397908
B0H3H5YL7N,下街与小河桥路交叉口西100米,湖北省,宜昌市,科教文化服务;博物馆;博物馆,当阳市,清溪民俗博物馆,"111.931320,30.916480",111.93132,30.91648
B0I07SIEAD,凤仪路1号附2号,湖北省,宜昌市,科教文化服务;博物馆;博物馆,远安县,远安县博物馆,"111.644600,31.052144",111.6446,31.052144
B0FFL6MCJL,金缸城村1组68号,湖北省,宜昌市,科教文化服务;博物馆;博物馆,秭归县,秭归县民俗文化家庭博物馆,"110.961400,30.824311",110.9614,30.824311
B0IDLMSJ8H,[],湖北省,宜昌市,科教文化服务;博物馆;博物馆,长阳土家族自治县,欧美珙桐原产地乐园博物馆,"110.508015,30.515149",110.508015,30.515149
B02CD03Z7X,龙舟坪镇秋潭路1号,湖北省,宜昌市,科教文化服务;博物馆;博物馆,长阳土家族自治县,长阳博物馆,"111.208997,30.474053",111.208997,30.474053
B0FFH1J8DV,东西路19-1号,湖北省,宜昌市,科教文化服务;博物馆;博物馆,五峰土家族自治县,五峰国家地质公园博物馆,"111.076996,30.168776",111.076996,30.168776
B0FFI00SOM,归州街与滨湖路交叉口西北50米,湖北省,宜昌市,科教文化服务;博物馆;博物馆,秭归县,天晟艺术馆,"110.985178,30.826939",110.985178,30.826939
B0FFLK3QY8,孝感市文化中心C座,湖北省,孝感市,科教文化服务;博物馆;博物馆,孝南区,孝感市博物馆(新馆),"113.957655,30.914978",113.957655,30.914978
B02C80O03I,航空路223号,湖北省,孝感市,科教文化服务;博物馆;博物馆,孝南区,孝感麻糖米酒博物馆,"113.908651,30.961559",113.908651,30.961559
B02C801JS2,北京路592号,湖北省,孝感市,科教文化服务;博物馆;博物馆,孝昌县,孝昌县博物馆,"113.985823,31.256744",113.985823,31.256744
B02C80N9OT,龙岗大道1号,湖北省,孝感市,科教文化服务;博物馆;博物馆,云梦县,湖北省博物馆云梦分馆,"113.773711,31.019494",113.773711,31.019494
B02C80NACE,阳平镇城关镇河东广场后巷2号,湖北省,孝感市,科教文化服务;博物馆;博物馆,大悟县,大悟县革命历史博物馆,"114.135254,31.561239",114.135254,31.561239
B02C80NI84,解放大道208号,湖北省,孝感市,科教文化服务;博物馆;博物馆,安陆市,安陆市博物馆,"113.673849,31.266065",113.673849,31.266065
B02C60PBHR,北街1号,湖北省,襄阳市,科教文化服务;博物馆;博物馆,襄城区,襄阳博物馆,"112.151362,32.018285",112.151362,32.018285
B0FFKG306A,303省道东150米,湖北省,襄阳市,科教文化服务;博物馆;博物馆,襄城区,中国山药文化博物馆,"112.008914,32.029228",112.008914,32.029228
B0FFLKM6R5,湖北江山重工有限责任公司,湖北省,襄阳市,科教文化服务;博物馆;博物馆,襄州区,襄阳高新区军工博物馆,"112.178228,32.139557",112.178228,32.139557
B0FFKQLSAL,前进路口泰安路15号,湖北省,襄阳市,科教文化服务;博物馆;博物馆,樊城区,一飞收藏,"112.152282,32.055080",112.152282,32.05508
B0GUDSPXLA,鱼梁洲浩然路十一号,湖北省,襄阳市,科教文化服务;博物馆;博物馆,襄城区,红色记忆馆,"112.192523,32.049209",112.192523,32.049209
B0HRABLWCZ,解放路与桥北东路辅路交叉口西北160米,湖北省,襄阳市,科教文化服务;博物馆;博物馆,樊城区,襄阳市襄州区博物馆,"112.151398,32.037652",112.151398,32.037652
B0G1RMYI01,古驿镇外沟村小学东南门旁,湖北省,襄阳市,科教文化服务;博物馆;博物馆,襄州区,皮影戏博物馆,"112.234899,32.238405",112.234899,32.238405
B0FFF3AVVQ,胜利街,湖北省,襄阳市,科教文化服务;博物馆;博物馆,襄城区,襄阳市博物馆(建设中),"112.168765,31.992390",112.168765,31.99239
B0I25CFQ0W,襄阳昭明台4层,湖北省,襄阳市,科教文化服务;博物馆;博物馆,襄城区,兰凤戏曲艺术博物馆,"112.151405,32.018265",112.151405,32.018265
